URL,File Name
https://www.destatis.de/DE/Themen/Wirtschaft/Volkswirtschaftliche-Gesamtrechnungen-Inlandsprodukt/Publikationen/Downloads-Inlandsprodukt/statistischer-bericht-2180120243225.xlsx?__blob=publicationFile,statistischer-bericht-2180120243225.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Sterbefaelle-Lebenserwartung/Publikationen/Downloads-Sterbefaelle/statistischer-bericht-sterbefaelle-tage-wochen-monate-endg-5126108.xlsx?__blob=publicationFile,statistischer-bericht-sterbefaelle-tage-wochen-monate-endg-5126108.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Todesursachen/Publikationen/Downloads-Todesursachen/statistischer-bericht-todesursachen-2120400237005.xlsx?__blob=publicationFile,statistischer-bericht-todesursachen-2120400237005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Umwelt/UGR/ueberblick/Publikationen/Downloads/statistischer-bericht-ugr-ueberblick-5850026249005.xlsx?__blob=publicationFile,statistischer-bericht-ugr-ueberblick-5850026249005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Sterbefaelle-Lebenserwartung/Publikationen/Downloads-Sterbefaelle/statistischer-bericht-sterbefaelle-5126105227005.xlsx?__blob=publicationFile,statistischer-bericht-sterbefaelle-5126105227005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Umwelt/UGR/rohstoffe-materialfluesse-wasser/Publikationen/Downloads/statistischer-bericht-rohstoffaequivalente-5853101217005.xlsx?__blob=publicationFile,statistischer-bericht-rohstoffaequivalente-5853101217005.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Tiere-Tierische-Erzeugung/Publikationen/Downloads-Tiere-und-tierische-Erzeugung/statistischer-bericht-viehhaltung-2030213239005.xlsx?__blob=publicationFile,statistischer-bericht-viehhaltung-2030213239005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/wohnen-in-deutschland-5122125229005.xlsx?__blob=publicationFile,wohnen-in-deutschland-5122125229005.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Landwirtschaftliche-Betriebe/Publikationen/Downloads-Landwirtschaftliche-Betriebe/statistischer-bericht-betriebe-bewaesserung-5411205239005.xlsx?__blob=publicationFile,statistischer-bericht-betriebe-bewaesserung-5411205239005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Volkswirtschaftliche-Gesamtrechnungen-Inlandsprodukt/Publikationen/Downloads-Einkommensverteilung-Sektorkonten/hauptaggregate-sektoren-xlsx-5812103.xlsx?__blob=publicationFile,hauptaggregate-sektoren-xlsx-5812103.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Umwelt/UGR/private-haushalte/Publikationen/Downloads/statistischer-bericht-haushalte-umwelt-5851319217005.xlsx?__blob=publicationFile,statistischer-bericht-haushalte-umwelt-5851319217005.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Landwirtschaftliche-Betriebe/Publikationen/Downloads-Landwirtschaftliche-Betriebe/statistischer-bericht-betriebswirtschaftliche-ausrichtung-2030214239005.xlsx?__blob=publicationFile,statistischer-bericht-betriebswirtschaftliche-ausrichtung-2030214239005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Preise/Verbraucherpreisindex/Publikationen/Downloads-Verbraucherpreise/statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103241025.xlsx?__blob=publicationFile,statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103241025.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Umwelt/UGR/energiefluesse-emissionen/Publikationen/Downloads/umweltnutzung-und-wirtschaft-energie-xlsx-5850014.xlsx?__blob=publicationFile,umweltnutzung-und-wirtschaft-energie-xlsx-5850014.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Volkswirtschaftliche-Gesamtrechnungen-Inlandsprodukt/Publikationen/Downloads-Inlandsprodukt/inlandsprodukt-lange-reihen-xlsx-2180150.xlsx?__blob=publicationFile,inlandsprodukt-lange-reihen-xlsx-2180150.xlsx
