File,Sheet / Workbook,Total Cell Count,Empty Cells Count,Whitespace Cells Count,Total Row Count,Rows Outside of Value Range Count,Total Column Count,Removed Columns Count,Original Size,Cleaned Size,Empty Cell Size,Whitespace Cell Size,Rows Outside of Value Range Size,Removed Columns Size,Reduction Ratio,Empty Cell Reduction Ratio,Whitespace Cell Reduction Ratio,Rows Outside of Value Range Reduction Ratio,Removed Columns Reduction Ratio,Removed Print Areas,Removed Print Titles
strafgerichte-2100230217005.xlsx,7_3,1413,457,0,75,0,9,1,48055,38961,9094,0,0,0,0.18924149412131933,0.18924149412131933,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,7_2,1423,832,0,75,0,9,1,42582,25963,16619,0,0,0,0.3902822788971866,0.3902822788971866,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,7_1,1230,551,0,66,0,10,1,39427,28446,10981,0,0,0,0.27851472341288963,0.27851472341288963,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,6_3,2060,558,0,60,0,14,1,65882,54600,11282,0,0,0,0.17124556024407273,0.17124556024407273,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,6_2,2418,988,0,69,0,15,1,73938,53882,20056,0,0,0,0.27125429413833213,0.27125429413833213,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,8_4,2764,1036,1,73,0,15,1,92110,71039,21033,38,0,0,0.22875909238953426,0.22834654217783085,0.0004125502117033981,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,8_5,2789,1910,0,178,103,13,1,80525,35075,38712,0,6738,0,0.5644209872710338,0.4807451102142192,0.0,0.08367587705681466,0.0,0,0
strafgerichte-2100230217005.xlsx,8_6,2708,1761,0,76,0,11,1,72774,37091,35683,0,0,0,0.49032621540660126,0.49032621540660126,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,A2 -  KatalogSachgebiete,8,1,0,152,21,3,0,10856,9221,6,0,1629,0,0.15060795873249816,0.000552689756816507,0.0,0.15005526897568164,0.0,0,0
strafgerichte-2100230217005.xlsx,A1 - BGH,1535,1518,0,113,55,15,0,39271,7575,29085,0,2611,0,0.8071095719487663,0.7406228514680043,0.0,0.06648672048076189,0.0,0,0
strafgerichte-2100230217005.xlsx,8_7,2596,1032,3,71,0,13,1,86432,65409,20907,116,0,0,0.24323167345427618,0.2418895779340985,0.001342095520177712,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,6_1,1230,632,0,68,0,7,2,39154,26440,12643,0,0,71,0.3247177810696225,0.3229044286662921,0.0,0.0,0.0018133524033304388,0,0
strafgerichte-2100230217005.xlsx,5_5,2505,868,0,118,36,14,1,97069,76398,17877,0,2794,0,0.2129516117401024,0.18416796299539503,0.0,0.028783648744707374,0.0,0,0
strafgerichte-2100230217005.xlsx,5_4,2602,740,0,142,73,13,1,88727,69820,15422,0,3485,0,0.21309184352001082,0.1738140588546891,0.0,0.03927778466532172,0.0,0,0
strafgerichte-2100230217005.xlsx,2_3,3580,1529,0,265,182,12,1,119104,76032,32060,0,11012,0,0.3616335303600215,0.26917651800107467,0.0,0.09245701235894681,0.0,0,0
strafgerichte-2100230217005.xlsx,2_4,5604,3378,0,476,237,13,1,181563,96097,71746,0,13720,0,0.47072366065773313,0.39515760369678843,0.0,0.07556605696094469,0.0,0,0
strafgerichte-2100230217005.xlsx,2_5,2301,958,0,64,0,14,1,81245,61788,19457,0,0,0,0.2394855068004185,0.2394855068004185,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,2_6,2969,904,0,188,19,12,1,103484,83722,18819,0,943,0,0.19096671949286848,0.18185419968304278,0.0,0.009112519809825673,0.0,0,0
strafgerichte-2100230217005.xlsx,2_2,2015,371,0,62,0,12,1,68802,61289,7513,0,0,0,0.10919740705212058,0.10919740705212058,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,2_1,2530,898,0,72,0,12,1,79287,61076,18211,0,0,0,0.22968456367374224,0.22968456367374224,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,1_3,2736,1053,0,79,0,13,1,84682,63344,21338,0,0,0,0.25197798823835055,0.25197798823835055,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,1_2,2684,719,0,78,0,12,1,89138,74625,14513,0,0,0,0.16281496107159685,0.16281496107159685,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,1_1,1266,406,0,139,63,6,1,49707,37711,7935,0,4061,0,0.2413342185205303,0.15963546381797333,0.0,0.08169875470255698,0.0,0,0
strafgerichte-2100230217005.xlsx,Schaubildseite_2,730,0,0,73,0,3,0,19120,19120,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,2_7,2216,591,1,78,12,14,1,87451,74611,11988,43,809,0,0.14682507918720197,0.13708248047478017,0.0004917039256269225,0.00925089478679489,0.0,0,0
strafgerichte-2100230217005.xlsx,3_1,1224,437,0,74,0,8,1,43173,34465,8708,0,0,0,0.20170013665948625,0.20170013665948625,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,3_2,2763,935,0,125,44,14,1,93093,70721,19177,0,3195,0,0.24031882096398224,0.2059983027724963,0.0,0.03432051819148593,0.0,0,0
strafgerichte-2100230217005.xlsx,5_3,3434,1482,0,266,184,12,1,112700,71073,31074,0,10553,0,0.36936113575865126,0.27572315882874887,0.0,0.09363797692990239,0.0,0,0
strafgerichte-2100230217005.xlsx,5_2,2288,1083,0,144,74,12,1,72666,45801,22037,0,4828,0,0.3697052266534555,0.30326425013073516,0.0,0.0664409765227204,0.0,0,0
strafgerichte-2100230217005.xlsx,5_1,1960,644,0,123,67,12,1,66921,49333,13098,0,4490,0,0.262817351802872,0.19572331555117228,0.0,0.06709403625169977,0.0,0,0
strafgerichte-2100230217005.xlsx,4_5,3072,964,0,103,27,14,1,114306,93254,19640,0,1412,0,0.1841723094150788,0.1718195020383882,0.0,0.012352807376690637,0.0,0,0
strafgerichte-2100230217005.xlsx,4_4,3510,1499,0,207,135,13,1,114523,74208,31253,0,9062,0,0.35202535735179835,0.2728971472979227,0.0,0.07912821005387564,0.0,0,0
strafgerichte-2100230217005.xlsx,4_3,3064,1312,0,240,168,12,1,104085,63832,27473,0,12780,0,0.3867319978863429,0.263947735024259,0.0,0.12278426286208387,0.0,0,0
strafgerichte-2100230217005.xlsx,4_2,2225,1117,0,69,0,12,1,66692,44014,22678,0,0,0,0.3400407845018893,0.3400407845018893,0.0,0.0,0.0,0,0
strafgerichte-2100230217005.xlsx,4_1,2297,928,0,149,85,16,1,76031,51838,18749,0,5444,0,0.3181991556075811,0.2465967828911891,0.0,0.071602372716392,0.0,0,0
strafgerichte-2100230217005.xlsx,3_3,2218,576,0,66,0,12,1,72484,60810,11674,0,0,0,0.16105623309971856,0.16105623309971856,0.0,0.0,0.0,0,0
strafverfolgung-2100300217005.xlsx,Workbook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
strafverfolgung-2100300217005.xlsx,Vorbemerkung,2,0,0,2,0,0,0,1884,1884,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
strafverfolgung-2100300217005.xlsx,Qualitaetsbericht,4,2,0,3,1,0,0,2046,1954,45,0,47,0,0.044965786901270774,0.021994134897360705,0.0,0.02297165200391007,0.0,0,0
strafverfolgung-2100300217005.xlsx,Inhalt,615,20,0,126,2,7,0,35274,34926,230,0,118,0,0.009865623405341044,0.006520383285139196,0.0,0.0033452401202018482,0.0,0,0
strafverfolgung-2100300217005.xlsx,Vorblatt,242,222,0,70,9,5,0,10879,5934,4497,0,448,0,0.45454545454545453,0.4133651990072617,0.0,0.04118025553819285,0.0,0,0
strafverfolgung-2100300217005.xlsx,Schaubild,1,0,0,77,1,3,0,5030,4972,0,0,58,0,0.011530815109343936,0.0,0.0,0.011530815109343936,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab7_1,2286,459,38,100,0,12,1,81781,71154,9148,1479,0,0,0.12994460816081976,0.1118597229185263,0.01808488524229344,0.0,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab7_1_Lang,35919,12797,246,1509,0,9,1,1169005,886988,272029,9988,0,0,0.24124533256915068,0.23270131436563574,0.008544018203514955,0.0,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab7_2,1885,378,33,100,0,7,1,68764,59945,7533,1286,0,0,0.12825024722238382,0.10954860101215752,0.01870164621022628,0.0,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab7_2_Lang,20089,7151,199,1013,0,9,1,658162,500706,149487,7969,0,0,0.2392359327946615,0.2271279715328445,0.012107961261816999,0.0,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab8_1,2142,0,0,238,0,2,1,95612,95612,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab8_2,1780,0,0,222,44,3,1,79460,76066,0,0,3394,0,0.04271331487540901,0.0,0.0,0.04271331487540901,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab6_2_Lang,20839,7575,188,915,0,9,1,667650,501922,158206,7522,0,0,0.24822586684640155,0.23695948475997902,0.011266382086422527,0.0,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab6_2,2187,433,38,100,0,8,1,76836,66723,8634,1479,0,0,0.13161799156645324,0.11236920193659222,0.019248789629861002,0.0,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab6_1_Lang,31679,11483,227,1600,0,9,1,1045597,791768,244591,9238,0,0,0.24275987784968778,0.23392473390799706,0.008835143941690727,0.0,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab5_4,992,195,50,48,0,7,1,36016,30157,3904,1955,0,0,0.1626776988005331,0.10839626832518881,0.05428143047534429,0.0,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab5_5,1024,124,0,42,3,14,1,34528,31876,2505,0,147,0,0.07680722891566265,0.07254981464318813,0.0,0.004257414272474514,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab5_6,1467,1023,18,74,40,9,1,42701,18475,20586,703,2937,0,0.5673403433174867,0.4820964380225288,0.016463314676471278,0.06878059061848668,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab5_7,929,455,10,44,3,9,1,29989,20357,9095,390,147,0,0.32118443429257393,0.30327786855180233,0.013004768415085532,0.004901797325686085,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab6_1,1906,415,34,101,0,9,1,68253,58661,8270,1322,0,0,0.14053594713785475,0.12116683515742897,0.01936911198042577,0.0,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab8_3,589,89,20,99,0,4,1,29974,27408,1786,780,0,0,0.08560752652298659,0.059584973643824646,0.026022552879161942,0.0,0.0,0,0
strafverfolgung-2100300217005.xlsx,Tab8_3_Lang,10481,3553,208,1531,0,6,1,460348,376455,75430,8463,0,0,0.18223821978155655,0.16385430152840894,0.01838391825314762,0.0,0.0,0,0
