file,sheet,python_original_bytes,python_cleaned_bytes,python_reduction_bytes,input_file,sheet_file,long_original_bytes,long_cleaned_bytes,long_cause_removed_bytes,long_cause_added_bytes,long_reduction_bytes,_merge,reduction_delta_bytes,analyzer_extra_reduction_bytes,rust_extra_reduction_bytes,abs_reduction_delta_bytes,original_delta_bytes,cleaned_delta_bytes,same_reduction_bytes
statistischer-bericht-binnenschifffahrt-2080400231105.xlsx,Informationen zur Statistik,83058,23070,59988,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-binnenschifffahrt-2080400231105.xlsx,xl/worksheets/sheet5.xml,83076,22985,60066,0,60091,both,103,-103,103,103,18,-85,False
statistischer-bericht-binnenschifffahrt-2080400241045.xlsx,Informationen zur Statistik,83087,23093,59994,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-binnenschifffahrt-2080400241045.xlsx,xl/worksheets/sheet5.xml,83087,22990,60072,0,60097,both,103,-103,103,103,0,-103,False
tageseinrichtungen-kindertagespflege-5225402227005.xlsx,LT3,125116,44450,80666,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\tageseinrichtungen-kindertagespflege-5225402227005.xlsx,xl/worksheets/sheet51.xml,125134,44365,80793,0,80769,both,103,-103,103,103,18,-85,False
verkehr-aktuell-xlsx-2080110.xlsx,4.1,23481,20075,3406,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\verkehr-aktuell-xlsx-2080110.xlsx,xl/worksheets/sheet57.xml,23499,19990,3479,0,3509,both,103,-103,103,103,18,-85,False
verwaltungsgerichte-2100240217005.xlsx,2_2_4_1,33333,30132,3201,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\verwaltungsgerichte-2100240217005.xlsx,xl/worksheets/sheet46.xml,33351,30047,3659,0,3304,both,103,-103,103,103,18,-85,False
absatz-tabak-vierteljahr-2140911223245.xlsx,Inhalt,10379,7603,2776,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\absatz-tabak-vierteljahr-2140911223245.xlsx,xl/worksheets/sheet2.xml,10397,7517,2820,0,2880,both,104,-104,104,104,18,-86,False
arbeitnehmerverdienste-lange-reihe-xlsx-2160240.xlsx,Glossar,37561,3092,34469,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\arbeitnehmerverdienste-lange-reihe-xlsx-2160240.xlsx,xl/worksheets/sheet22.xml,37579,3006,56622,0,34573,both,104,-104,104,104,18,-86,False
asylbewerber-2130700177005.xlsx,A_1_4,24834,23183,1651,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\asylbewerber-2130700177005.xlsx,xl/worksheets/sheet12.xml,24852,23097,2015,0,1755,both,104,-104,104,104,18,-86,False
berufsakademien-2110480217005.xlsx,TAB-08,41044,32657,8387,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\berufsakademien-2110480217005.xlsx,xl/worksheets/sheet20.xml,41062,32571,8456,0,8491,both,104,-104,104,104,18,-86,False
bestand-wohnungen-2050300217005.xlsx,1.3,29724,23248,6476,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\bestand-wohnungen-2050300217005.xlsx,xl/worksheets/sheet8.xml,29742,23162,6550,0,6580,both,104,-104,104,104,18,-86,False
bildungsfinanzbericht-tabellenteil-5217102197005.xlsx,2.2,132684,122106,10578,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\bildungsfinanzbericht-tabellenteil-5217102197005.xlsx,xl/worksheets/sheet12.xml,132702,122020,10861,0,10682,both,104,-104,104,104,18,-86,False
bodennutzung-erzeugung-2030300147005.xlsx,12_4_1,19438,9251,10187,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\bodennutzung-erzeugung-2030300147005.xlsx,xl/worksheets/sheet101.xml,19456,9165,14208,0,10291,both,104,-104,104,104,18,-86,False
bodennutzung-erzeugung-2030300147005.xlsx,Noch_12_5_2,21172,16532,4640,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\bodennutzung-erzeugung-2030300147005.xlsx,xl/worksheets/sheet110.xml,21190,16446,4674,0,4744,both,104,-104,104,104,18,-86,False
elterngeld-geburten-j-5229201199005.xlsx,T10,21933,18640,3293,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\elterngeld-geburten-j-5229201199005.xlsx,xl/worksheets/sheet14.xml,21951,18554,3382,0,3397,both,104,-104,104,104,18,-86,False
integrationsindikatoren-5122122217005.xlsx,Textteil,12052,3751,8301,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\integrationsindikatoren-5122122217005.xlsx,xl/worksheets/sheet3.xml,12070,3665,8395,0,8405,both,104,-104,104,104,18,-86,False
luftverkehrsteuer-2140960217005.xlsx,Anlage 1,5875,5696,179,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\luftverkehrsteuer-2140960217005.xlsx,xl/worksheets/sheet10.xml,5893,5610,343,0,283,both,104,-104,104,104,18,-86,False
luftverkehrsteuer-2140960217005.xlsx,Anlage 2,5844,5825,19,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\luftverkehrsteuer-2140960217005.xlsx,xl/worksheets/sheet11.xml,5862,5739,159,0,123,both,104,-104,104,104,18,-86,False
nettoverdienste-modellrechnung-2160250217005.xlsx,Glossar,29507,3195,26312,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\nettoverdienste-modellrechnung-2160250217005.xlsx,xl/worksheets/sheet16.xml,29525,3109,42779,0,26416,both,104,-104,104,104,18,-86,False
