scope,category,category_causes,metric,input_file,file,sheet_file,sheet_or_workbook,original_size_bytes,cleaned_size_bytes,reduction_bytes,reduction_ratio,reduction_percent,sheet_or_workbook_count,mean_sheet_original_size,mean_sheet_cleaned_size,mean_sheet_reduction_bytes,mean_sheet_reduction_ratio,mean_sheet_reduction_percent
excel_file,Trailing Layout Rows,TrailingLayoutOnlyRows,relative_ratio,data-from-large-subsurface-carbon-stocks-in-a-long-term-no-tillage-site-are-vulnerable-to-__8d43c437-46d0-4303-a9d8-cbfcbcc1be4c_cab5d5379399.xlsx,data-from-large-subsurface-carbon-stocks-in-a-long-term-no-tillage-site-are-vulnerable-to-__8d43c437-46d0-4303-a9d8-cbfcbcc1be4c_cab5d5379399.xlsx,,,46315,5477,40838,0.8817445751916226,88.17445751916226,2,23157.5,2738.5,20419.0,0.4508301686832112,45.08301686832112
sheet_or_workbook,Empty Row Attributes,EmptyRowAttributeCleanup,absolute_bytes,pcc_utilization_pivot_2022_d9d87157e663.xlsx,pcc_utilization_pivot_2022_d9d87157e663.xlsx,xl/worksheets/sheet1.xml,xl/worksheets/sheet1.xml,85179121,637907,36579550,0.42944267997318264,42.94426799731826,,,,,,
sheet_or_workbook,Empty Row Attributes,EmptyRowAttributeCleanup,relative_ratio,pcc_utilization_pivot_2022_d9d87157e663.xlsx,pcc_utilization_pivot_2022_d9d87157e663.xlsx,xl/worksheets/sheet1.xml,xl/worksheets/sheet1.xml,85179121,637907,36579550,0.42944267997318264,42.94426799731826,,,,,,
excel_file,Empty Row Attributes,EmptyRowAttributeCleanup,absolute_bytes,pcc_utilization_pivot_2022_d9d87157e663.xlsx,pcc_utilization_pivot_2022_d9d87157e663.xlsx,,,105743381,8384915,36579550,0.34592756212325004,34.59275621232501,5,21148676.2,1676983.0,19471693.2,0.5907563244627996,59.075632446279954
excel_file,Empty Row Attributes,EmptyRowAttributeCleanup,relative_ratio,pcc_utilization_pivot_2022_d9d87157e663.xlsx,pcc_utilization_pivot_2022_d9d87157e663.xlsx,,,105743381,8384915,36579550,0.34592756212325004,34.59275621232501,5,21148676.2,1676983.0,19471693.2,0.5907563244627996,59.075632446279954
sheet_or_workbook,Column Range Merge,ExtraneousColumnRangeMerge,absolute_bytes,hafd15-32018-extract_ab3c8e429c74.xlsx,hafd15-32018-extract_ab3c8e429c74.xlsx,xl/worksheets/sheet1.xml,xl/worksheets/sheet1.xml,4908560,3812183,1064679,0.21690251316068257,21.690251316068256,,,,,,
sheet_or_workbook,Column Range Merge,ExtraneousColumnRangeMerge,relative_ratio,Nestlerode et al 2018 for science hub_9d0294b37844.xlsx,Nestlerode et al 2018 for science hub_9d0294b37844.xlsx,xl/worksheets/sheet5.xml,xl/worksheets/sheet5.xml,326696,6072,320510,0.9810649655949262,98.10649655949261,,,,,,
excel_file,Column Range Merge,ExtraneousColumnRangeMerge,absolute_bytes,Table 2 three month exp SEM data Gavett 2016 PFT_4fe3a7ae08ef.xlsx,Table 2 three month exp SEM data Gavett 2016 PFT_4fe3a7ae08ef.xlsx,,,18451966,8724261,6247908,0.3386039189536768,33.860391895367684,59,312745.18644067796,147868.83050847458,164876.35593220338,0.5478221397464895,54.782213974648954
excel_file,Column Range Merge,ExtraneousColumnRangeMerge,relative_ratio,Dearborn_organic_speciation_04c05f7ff998.xlsx,Dearborn_organic_speciation_04c05f7ff998.xlsx,,,257597,47559,209484,0.8132237564878473,81.32237564878473,2,128798.5,23779.5,105019.0,0.4093031413204459,40.930314132044586
sheet_or_workbook,Unreferenced Whitespace,UnreferencedWhitespaceCells,absolute_bytes,frpp_public_dataset_fy24_07022025_af7affc7a554.xlsx,frpp_public_dataset_fy24_07022025_af7affc7a554.xlsx,xl/worksheets/sheet1.xml,xl/worksheets/sheet1.xml,1363857396,31801284,605273913,0.4437956011934843,44.37956011934843,,,,,,
sheet_or_workbook,Unreferenced Whitespace,UnreferencedWhitespaceCells,relative_ratio,east-canada2014temp_53770993952a.xlsx,east-canada2014temp_53770993952a.xlsx,xl/worksheets/sheet7.xml,xl/worksheets/sheet7.xml,28217802,1862527,26355275,0.9339946109197308,93.39946109197308,,,,,,
excel_file,Unreferenced Whitespace,UnreferencedWhitespaceCells,absolute_bytes,frpp_public_dataset_fy24_07022025_af7affc7a554.xlsx,frpp_public_dataset_fy24_07022025_af7affc7a554.xlsx,,,1363859103,31802991,605273913,0.4437950457408796,44.37950457408796,2,681929551.5,15901495.5,666028056.0,0.4883414189440668,48.83414189440668
excel_file,Unreferenced Whitespace,UnreferencedWhitespaceCells,relative_ratio,east-canada2014temp_53770993952a.xlsx,east-canada2014temp_53770993952a.xlsx,,,112074455,17823965,94249033,0.8409501790573062,84.09501790573061,17,6592615.0,1048468.5294117647,5544146.470588235,0.5117656981850134,51.176569818501335
sheet_or_workbook,Unreferenced Hidden Content,UnreferencedHiddenContentCells,absolute_bytes,frpp_public_dataset_fy24_07022025_af7affc7a554.xlsx,frpp_public_dataset_fy24_07022025_af7affc7a554.xlsx,xl/worksheets/sheet1.xml,xl/worksheets/sheet1.xml,1363857396,31801284,726782199,0.5328872366946493,53.28872366946493,,,,,,
sheet_or_workbook,Unreferenced Hidden Content,UnreferencedHiddenContentCells,relative_ratio,SI5. Crop Residue Supplementary Information_e11a761215f9.xlsx,SI5. Crop Residue Supplementary Information_e11a761215f9.xlsx,xl/worksheets/sheet17.xml,xl/worksheets/sheet17.xml,679430,24083,653644,0.9620475987224585,96.20475987224584,,,,,,
excel_file,Unreferenced Hidden Content,UnreferencedHiddenContentCells,absolute_bytes,frpp_public_dataset_fy24_07022025_af7affc7a554.xlsx,frpp_public_dataset_fy24_07022025_af7affc7a554.xlsx,,,1363859103,31802991,726782199,0.532886569735349,53.2886569735349,2,681929551.5,15901495.5,666028056.0,0.4883414189440668,48.83414189440668
excel_file,Unreferenced Hidden Content,UnreferencedHiddenContentCells,relative_ratio,data-from-understanding-the-effects-of-grazing-and-prescribed-fire-on-hydrology-of-kentuck__d3e0b023-c543-4f9b-bf7c-b2a2b9691299_5f0ac8f70548.xlsx,data-from-understanding-the-effects-of-grazing-and-prescribed-fire-on-hydrology-of-kentuck__d3e0b023-c543-4f9b-bf7c-b2a2b9691299_5f0ac8f70548.xlsx,,,380909,77546,303363,0.7964185671643358,79.64185671643358,2,190454.5,38773.0,151681.5,0.4007945525456333,40.07945525456333
sheet_or_workbook,Hidden Empty Rows,PreprocessConsecutiveHiddenEmptyRows;ConsecutiveHiddenEmptyRows,absolute_bytes,Decentralized Life Cycle Cost Assessment_SF Reuse_69c5be921a2c.xlsx,Decentralized Life Cycle Cost Assessment_SF Reuse_69c5be921a2c.xlsx,xl/worksheets/sheet3.xml,xl/worksheets/sheet3.xml,292444502,2655207,289741413,0.9907569163327954,99.07569163327953,,,,,,
sheet_or_workbook,Hidden Empty Rows,PreprocessConsecutiveHiddenEmptyRows;ConsecutiveHiddenEmptyRows,relative_ratio,Bath AD _ Compost Model_v2_5.8.17_632c2f616e0b.xlsx,Bath AD _ Compost Model_v2_5.8.17_632c2f616e0b.xlsx,xl/worksheets/sheet8.xml,xl/worksheets/sheet8.xml,95301013,7104,95293469,0.99992084029579,99.992084029579,,,,,,
excel_file,Hidden Empty Rows,PreprocessConsecutiveHiddenEmptyRows;ConsecutiveHiddenEmptyRows,absolute_bytes,Decentralized Life Cycle Cost Assessment_SF Reuse_69c5be921a2c.xlsx,Decentralized Life Cycle Cost Assessment_SF Reuse_69c5be921a2c.xlsx,,,292780321,2952239,289742793,0.9896252316766877,98.96252316766876,14,20912880.07142857,210874.2142857143,20702005.85714286,0.17306555852001,17.306555852000997
excel_file,Hidden Empty Rows,PreprocessConsecutiveHiddenEmptyRows;ConsecutiveHiddenEmptyRows,relative_ratio,Decentralized Thermal Recovery Calculations_SF Reuse_f581e73f6a48.xlsx,Decentralized Thermal Recovery Calculations_SF Reuse_f581e73f6a48.xlsx,,,53467730,49730,53414182,0.9989984987206302,99.89984987206302,8,6683466.25,6216.25,6677250.0,0.20900002003958437,20.900002003958438
